person_id,spouse_id,marriage_id,union_status,m_number,is_old_style,m_day,m_month,m_year,church_id,place_id,m_admin_division,m_civil_place_details,m_civil_place_address,date_sort
62260,62261,M_62260,,1,,,,,,,,,,
62261,62260,M_62261,,1,,,,,,,,,,
62336,62337,M_62336,,1,,,,,,,,,,
62337,62336,M_62337,,1,,,,,,,,,,
62528,62529,M_62528,,1,,,,,,,,,,
62529,62528,M_62529,,1,,,,,,,,,,
64264,64265,M_64264,,1,,,,,,,,,,
64265,64264,M_64265,,1,,,,,,,,,,
64320,64321,M_64320,,1,,,,1545,,,,,,1545-00-00
64321,64320,M_64321,,1,,,,,,,,,,
64512,64513,M_64512,,1,,,2,1494,,,,,,1494-02-00
64513,257056,M_64513_1,,1,,,,,,,,,,
64513,64512,M_64513_2,,2,,,,,,,,,,
65152,65153,M_65152_65153,,,,,,,,,,,,
65153,65152,M_65153_65152,,,,,,,,,,,,
65164,65165,M_65164,,1,,,,,,,,,,
65165,65164,M_65165,,1,,,,,,,,,,
65166,65167,M_65166,,1,,,,,,,,,,
65167,65166,M_65167,,1,,,,,,,,,,
65176,65177,M_65176_65177,,,,,,,,,,,,
65177,65176,M_65177_65176,,,,,,,,,,,,
65408,65409,M_65408_65409,,,,,,,,,,,,
65409,65408,M_65409_65408,,,,,,,,,,,,
117248,117249,M_117248_117249,,,,,,,,,,,,
117249,117248,M_117249_117248,,,,,,,,,,,,
117312,117313,M_117312_117313,,,,,,,,,,,,
117313,117312,M_117313_117312,,,,,,,,,,,,
117504,117505,M_117504_117505,,,,,,,,,,,,
117505,117504,M_117505_117504,,,,,,,,,,,,
117506,117507,M_117506_117507,,,,,,,,,,,,
117507,117506,M_117507_117506,,,,,,,,,,,,
117528,117529,M_117528_117529,,,,,,,,,,,,
117529,117528,M_117529_117528,,,,,,,,,,,,
117536,117537,M_117536_117537,,,,,,,,,,,,
117537,117536,M_117537_117536,,,,,,,,,,,,
117696,117697,M_117696_117697,,,,,,,,,,,,
117697,117696,M_117697_117696,,,,,,,,,,,,
117698,117699,M_117698_117699,,,,,,,,,,,,
117699,117698,M_117699_117698,,,,,,,,,,,,
117704,117705,M_117704_117705,,,,,,,,,,,,
117705,117704,M_117705_117704,,,,,,,,,,,,
122024,122025,M_122024,,1,,,,1460,,,,,,1460-00-00
122025,122024,M_122025,,1,,,,,,,,,,
122026,122027,M_122026,,1,,,,,,,,,,
122027,122026,M_122027,,1,,,,,,,,,,
122084,122085,M_122084,,1,,,,1526,,,,,,1526-00-00
122085,122084,M_122085,,1,,,,,,,,,,
122410,,M_122410_1,,1,,,,1480,,,,,,1480-00-00
122410,,M_122410_2,,2,,,,,,,,,,
122546,122547,M_122546,,1,,,,,,,,,,
122547,122546,M_122547,,1,,,,,,,,,,
122934,122935,M_122934,,1,,,,,,,,,,
122935,122934,M_122935,,1,,,,,,,,,,
122962,122963,M_122962,,1,,,,1501,,,,,,1501-00-00
122963,122962,M_122963,,1,,,,,,,,,,
123682,123683,M_123682,,1,,,,,,,,,,
123683,123682,M_123683,,1,,,,,,,,,,
123684,123685,M_123684,,1,,,,1574,,,,,,1574-00-00
123685,123684,M_123685,,1,,,,,,,,,,
123686,123687,M_123686,,1,,,,,,,,,,
123687,123686,M_123687,,1,,,,,,,,,,
123776,123777,M_123776,,1,,,,,,,,,,
123777,123776,M_123777,,1,,,,,,,,,,
123968,123969,M_123968,,1,,,,,,,,,,
123969,123968,M_123969,,1,,,,,,,,,,
124148,124149,M_124148,,1,,,,,,,,,,
